Model,Prompt,Total_Generation_Time,Model_time_sec,Model_CPU_util,Model_GPU_util,Model_RAM_MB,Model_GPU_Mem_MB,Model_Network_MB,Token_time_sec,Token_CPU_util,Token_GPU_util,Token_RAM_MB,Token_GPU_Mem_MB,Token_Network_MB,Encoding_time_sec,Encoding_CPU_util,Encoding_GPU_util,Encoding_RAM_MB,Encoding_GPU_Mem_MB,Encoding_Network_MB,Latent_time_sec,Latent_CPU_util,Latent_GPU_util,Latent_RAM_MB,Latent_GPU_Mem_MB,Latent_Network_MB,Diffusion_time_sec,Diffusion_CPU_util,Diffusion_GPU_util,Diffusion_RAM_MB,Diffusion_GPU_Mem_MB,Diffusion_Network_MB,Generation_time_sec,Generation_CPU_util,Generation_GPU_util,Generation_RAM_MB,Generation_GPU_Mem_MB,Generation_Network_MB,Display_time_sec,Display_CPU_util,Display_GPU_util,Display_RAM_MB,Display_GPU_Mem_MB,Display_Network_MB
CompVis/stable-diffusion-v1-4,A unicorn with a horn surrounded by clouds in sky.,46.4349,31.0146,6.35,83.79,2832.64,634.10,0.17,0.0021,0.00,100.00,2942.57,2637.76,0.00,2.7861,0.28,61.40,3002.71,2643.71,0.01,0.0026,0.15,100.00,3110.07,2650.60,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,9.6541,1.23,88.92,3226.93,2671.38,0.03,0.2488,1.09,95.67,3300.07,2650.73,0.00
CompVis/stable-diffusion-v1-4,A dragon flying above a mountain with a golden sunset.,23.8695,17.1744,9.30,88.16,4614.04,3636.54,0.08,0.0073,0.00,100.00,4649.61,5285.25,0.00,0.4059,0.00,90.67,4649.61,5288.70,0.00,0.0003,0.00,99.00,4649.61,5285.31,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.6489,1.62,88.02,4641.03,2670.45,0.04,0.1857,1.20,83.00,4641.03,2647.49,0.00
CompVis/stable-diffusion-v1-4,"A mermaid sitting on a rock under the moonlight, surrounded by sea creatures.",10.9935,4.8086,12.77,92.53,5694.28,3056.04,1.39,0.0055,0.15,100.00,5719.71,5295.85,0.00,0.0065,0.16,100.00,5719.71,5301.93,0.00,0.0002,0.00,100.00,5719.71,5297.33,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.4377,1.64,85.54,5711.91,2670.03,1.55,0.2719,1.03,100.00,5712.88,2662.76,0.02
CompVis/stable-diffusion-v1-4,A blue Lamborghini parked beside an apple tree in a field.,9.9814,3.7255,15.57,87.91,6486.90,3103.60,0.03,0.0041,0.00,77.00,6310.68,5298.77,0.00,0.0074,0.15,89.00,6310.68,5303.79,0.00,0.0002,0.00,89.00,6310.68,5297.76,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.5776,1.59,82.57,6305.16,2660.27,0.03,0.1754,1.00,4.00,6305.64,2649.34,0.00
CompVis/stable-diffusion-v1-4,A street with a red double-decker bus passing by modern buildings.,10.0381,3.8690,15.31,61.54,6948.69,3087.59,0.03,0.0016,0.00,100.00,6556.03,5302.58,0.00,0.0129,0.16,100.00,6556.03,5308.29,0.00,0.0002,0.00,100.00,6556.03,5303.34,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.4973,1.73,86.26,6551.10,2671.69,0.03,0.2133,1.24,86.00,6551.10,2667.27,0.00
CompVis/stable-diffusion-v1-4,A coffee cup on a wooden table with sunlight streaming through the window.,10.7900,4.1077,15.86,89.30,7052.87,3109.51,0.03,0.0015,0.00,100.00,6613.39,5307.28,0.00,0.5373,0.08,87.00,6613.39,5313.38,0.00,0.0002,0.00,100.00,6613.39,5307.34,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.3659,1.63,84.52,6609.73,2661.68,0.04,0.2381,0.90,99.00,6609.73,2654.05,0.00
CompVis/stable-diffusion-v1-4,A single banana on a plain white background.,8.8525,3.2615,14.46,92.43,6989.26,3081.85,0.03,0.0009,0.15,84.00,6639.96,5307.91,0.00,0.0078,0.00,84.00,6639.96,5311.86,0.00,0.0002,0.00,84.00,6639.96,5306.20,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,4.8862,1.64,81.78,6638.23,2673.48,0.02,0.2333,0.95,81.67,6638.23,2666.12,0.00
CompVis/stable-diffusion-v1-4,A red apple sitting on a kitchen counter.,9.6239,3.3647,14.85,63.81,7166.72,3092.70,0.03,0.0040,0.00,15.00,6648.14,5310.01,0.00,0.0067,0.15,15.00,6648.14,5313.96,0.00,0.0002,0.00,15.00,6648.14,5310.08,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.5204,1.55,87.75,6645.16,2667.85,0.03,0.2145,0.93,100.00,6645.16,2656.15,0.00
CompVis/stable-diffusion-v1-4,A plain glass of water on a wooden table.,11.6683,5.1629,12.37,90.86,7086.23,2938.98,0.05,0.0012,0.00,98.00,6656.72,5306.96,0.00,0.0087,0.16,98.00,6656.72,5311.26,0.00,0.0002,0.00,83.00,6656.72,5307.38,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.7573,1.54,93.27,6655.89,2672.28,0.02,0.2155,0.90,87.67,6655.89,2663.42,0.00
runwayml/stable-diffusion-v1-5,A unicorn with a horn surrounded by clouds in sky.,11.4655,5.1597,12.75,87.81,7062.97,3033.92,0.05,0.0012,0.00,83.00,6655.55,5308.56,0.00,0.0066,0.15,83.00,6655.55,5313.22,0.00,0.0002,0.00,94.00,6655.55,5308.98,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.5093,1.57,72.21,6655.55,2664.28,0.03,0.2101,1.04,92.67,6655.55,2658.11,0.00
runwayml/stable-diffusion-v1-5,A dragon flying above a mountain with a golden sunset.,11.4401,4.7477,9.34,62.74,6872.71,2956.41,0.04,0.0013,0.00,87.00,6657.02,5303.77,0.00,0.0070,0.16,100.00,6657.02,5308.43,0.00,0.0002,0.00,100.00,6657.02,5303.83,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.9575,1.53,84.12,6657.02,2669.23,0.02,0.2346,0.85,92.33,6657.02,2658.63,0.01
runwayml/stable-diffusion-v1-5,"A mermaid sitting on a rock under the moonlight, surrounded by sea creatures.",10.2216,4.2439,11.29,84.07,7112.06,2969.88,0.04,0.0073,0.00,9.00,6657.55,5304.48,0.00,0.0076,0.16,100.00,6657.55,5310.56,0.00,0.0002,0.00,100.00,6657.55,5305.97,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.3214,1.56,93.08,6657.55,2668.09,0.02,0.2140,1.36,100.00,6657.55,2660.25,0.00
runwayml/stable-diffusion-v1-5,A blue Lamborghini parked beside an apple tree in a field.,9.7491,3.8319,11.06,89.89,6950.38,2986.99,0.04,0.0010,0.00,100.00,6656.40,5307.96,0.00,0.0119,0.16,93.00,6656.40,5312.97,0.00,0.0001,0.00,93.00,6656.40,5306.95,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.2742,1.55,70.93,6656.40,2667.02,0.02,0.1830,0.92,20.00,6656.40,2661.04,0.00
runwayml/stable-diffusion-v1-5,A street with a red double-decker bus passing by modern buildings.,10.7597,4.4331,10.85,86.33,6929.70,3031.15,0.04,0.0012,0.00,91.00,6659.03,5307.88,0.00,0.0973,0.16,91.00,6659.03,5313.60,0.00,0.0001,0.16,91.00,6659.03,5308.65,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.5841,1.61,93.67,6659.03,2673.92,0.02,0.2209,0.83,99.33,6659.03,2660.87,0.00
